"rt","stimulus","key_press","subj_id","test_part","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","image_1","image_2","keyword","responses","question_order","success","screen_width","screen_height","completion_code","resp_age","resp_gender","resp_performance","resp_strategies","resp_experiment","resp_experience","resp_final","resp_attention"
"666","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/moke.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","12","17183","0.0-12.0","3","images/moke.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"288","Recall toop.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","13","18475","0.0-13.0","3","","","","","","","","","","","","","","","","",""
"567","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/filler1.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","14","19044","0.0-14.0","4","images/filler1.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"598.0000000000036","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/heek.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","15","19644","0.0-15.0","5","images/heek.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"704.9999999999964","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/filler2.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","16","20353","0.0-16.0","6","images/filler2.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"246","Recall heek.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","17","21603","0.0-17.0","6","","","","","","","","","","","","","","","","",""
"486","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/filler2.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","18","22093","0.0-18.0","7","images/filler2.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"714","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/filler1.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","19","22810","0.0-19.0","8","images/filler1.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"493","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/filler1.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","20","23307","0.0-20.0","9","images/filler1.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"263","Recall heek.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","21","24573","0.0-21.0","9","","","","","","","","","","","","","","","","",""
"1167.0000000000036","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/toop.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","22","25744","0.0-22.0","10","images/toop.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"600","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/toop.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","23","26347","0.0-23.0","11","images/toop.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"1121","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/filler2.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","24","27472","0.0-24.0","12","images/filler2.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"106.00000000000364","Recall heek.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","25","28581","0.0-25.0","12","","","","","","","","","","","","","","","","",""
"471","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/heek.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","26","29054","0.0-26.0","13","images/heek.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
"603.9999999999964","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/toop.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","27","29662","0.0-27.0","14","images/toop.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"359.00000000000364","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/dax.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","28","30024","0.0-28.0","15","images/dax.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"155","Recall heek.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","29","31185","0.0-29.0","15","","","","","","","","","","","","","","","","",""
"406","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/heek.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","30","31594","0.0-30.0","16","images/heek.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"363","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/moke.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","31","31961","0.0-31.0","17","images/moke.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
"364","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/wode.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","32","32327","0.0-32.0","18","images/wode.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"228","Recall toop.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","33","33560","0.0-33.0","18","","","","","","","","","","","","","","","","",""
"431","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/filler1.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","34","33995","0.0-34.0","19","images/filler1.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
"365","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/wode.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","35","34365","0.0-35.0","20","images/wode.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"335","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/blicket.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","36","34704","0.0-36.0","21","images/blicket.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"303","Recall toop.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","37","36011","0.0-37.0","21","","","","","","","","","","","","","","","","",""
"386","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/filler2.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","38","36401","0.0-38.0","22","images/filler2.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
"357","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/toop.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","39","36763","0.0-39.0","23","images/toop.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
"3435","","","jo_1639602257750","test_trial","jo-survey-multi-choice","40","40203","0.0-40.0","","","","","{""heek"":""images/heek.png""}","[0]","","","","","","","","","","","",""
"2092","","","jo_1639602257750","test_trial","jo-survey-multi-choice","41","42298","0.0-41.0","","","","","{""wode"":""images/filler1.png""}","[0]","","","","","","","","","","","",""
"2982","","","jo_1639602257750","test_trial","jo-survey-multi-choice","42","45283","0.0-42.0","","","","","{""blicket"":""images/blicket.png""}","[0]","","","","","","","","","","","",""
"2304.9999999999927","","","jo_1639602257750","test_trial","jo-survey-multi-choice","43","47592","0.0-43.0","","","","","{""moke"":""images/toop.png""}","[0]","","","","","","","","","","","",""
"2277","","","jo_1639602257750","test_trial","jo-survey-multi-choice","44","49873","0.0-44.0","","","","","{""dax"":""images/filler2.png""}","[0]","","","","","","","","","","","",""
"2533","","","jo_1639602257750","test_trial","jo-survey-multi-choice","45","52413","0.0-45.0","","","","","{""toop"":""images/filler2.png""}","[0]","","","","","","","","","","","",""
"","","","","","fullscreen","46","53417","0.0-46.0","","","","","","","true","1440","545","","","","","","","","",""
"8072.000000000007","","","jo_1639602257750","debrief","survey-html-form","47","61494","0.0-47.0-0.0","","","","","{""age"":""27"",""gender"":""female"",""1_performance"":""100"",""2_strategies"":""asdf"",""3_experiment"":""asdf"",""4_experience"":""asdf"",""5_final"":""asdf"",""6_attention"":""100""}","","","","","8FDFA264","27","female","100","asdf","asdf","asdf","asdf","100"
"513","<p>Great, you have completed this experiment.  Please press spacebar to proceed to the next page, and get your code.</p>","32","jo_1639602257750","instruct_prompt","html-keyboard-response","48","62011","0.0-48.0","","","","","","","","","","","","","","","","","",""
